Serial Number,Deposits 2016
1,1185041101
2,384506.6645
3,294654.3006
4,132198.9111
5,251113.1521
6,165468.6242
7,121485.8087
8,65427.10657
9,94780.07686
10,96216.35522
11,409066.4264
12,184889.6653
13,152638.7972
14,207490.7695
15,311777.4591
16,254557.2945
17,88186.31336
18,650283.0569
19,474381.2963
20,138558.5028
21,540362.0705
22,564123.0772
23,552826.0291
24,340794.516
25,879656.7715
26,587716.8594
27,430118.8576
28,399747.5103
29,274243.2085
30,64918.70096
31,273383.9254
32,328308.3944
33,492140.6507
34,532423.5324
35,7770829.086
36,447703.8539
37,403535.4103
38,309955.7702
39,791088.0414
40,2245280.661
41,280030.6754
42,283515.2448
43,59728.26427
44,1215104.175
45,560860.0457
46,656310.4199
47,117400.1055
48,253106.8864
49,284652.5544
50,245771.5839
51,63671.73271
52,252421.147
53,254464.7028
54,527828.1734
55,106242.5371
56,218013.3906
57,496422.4993
58,194324.1343
59,320858.7234
60,223750.3364
61,187824.6806
62,1209786.616
63,124184.6037
64,209194.2484
65,509408.2247
66,401479.5117
67,165958.4717
68,1116810.106
69,152219.2777
70,137070.3676
71,136575.3209
72,364666.0503
73,136639.8734
74,329326.083
75,141172.2485
76,238227.6991
77,146566.211
78,215107.2133
79,267434.7367
80,164766.5592
81,168243.9408
82,49367.7744
83,199690.544
84,393676.023
85,239239.6601
86,312299.203
87,294970.0729
88,168598.1311
89,27287.51289
90,106655.16
91,181631.1048
92,758257.4658
93,346436.6195
94,147940.4149
95,118610.6825
96,520422.9401
97,280710.983
98,172433.8777
99,272549.3523
100,244304.6709
101,118331.985
102,260557.8
103,189084.2786
104,171894.8777
105,138083.0226
106,131723.4656
107,304248.3987
108,421447.8745
109,620156.8965
110,185996.9082
111,172053.8804
112,93392.66635
113,183239.7184
114,231527.3307
115,88413.71481
116,144645.5312
117,69063.97915
118,93705.87394
119,140064.6643
120,168984.6588
121,133163.397
122,233134.2438
123,65247.84249
124,737706.1779
125,682462.3111
126,42462.8294
127,143283.5722
128,116237.5796
129,100701.8225
130,192579.237
131,117674.4733
132,140836.0835
133,185458.7762
134,227901.3614
135,241417.3073
136,277766.1868
137,401562.2762
138,145047.2477
139,479968.5775
140,402631.9476
141,154000.2806
142,291274.5236
143,57229.85973
144,81282.64828
145,273383.8263
146,493159.8827
147,184863.0853
148,1007883.483
149,475606.9608
150,127891.0061
151,88515.12594
152,69173.61337
153,295765.5512
154,854472.777
155,93634538.23
156,392553.0926
157,230739.6777
158,157811.1276
159,181702.8784
160,188892.8308
161,263388.7971
162,179185.0255
163,234614.2771
164,236660.9097
165,308149.1435
166,155580.7476
167,714149.0596
168,243782.3592
169,643931.1881
170,59813.31919
171,148858.0663
172,83529.72379
173,209849.9732
174,135167.7598
175,73809.30384
176,139453.7555
177,358290.2654
178,148044.7982
179,254575.0422
