Serial Numer,Deposits 2016
1,1185041100.605377
2,384506.6645403643
3,294654.300586826
4,132198.91111682536
5,251113.15209643135
6,165468.6242216369
7,121485.80871991781
8,65427.10656657682
9,94780.07684747926
10,96216.35521776564
11,409066.4263934786
12,184889.66528567998
13,152638.7972114252
14,207490.76955849124
15,311777.4591671749
16,254557.29452999623
17,88186.31334501873
18,650283.0568603498
19,474381.2962768887
20,138558.5028029931
21,540362.0704345981
22,564123.077158551
23,552826.0290729479
24,340794.5159879294
25,879656.7715659908
26,587716.8593534648
27,430118.85753761954
28,399747.510321247
29,274243.2084404713
30,64918.700952667794
31,273383.9254232738
32,328308.39442052646
33,492140.6507491489
34,532423.5324294002
35,7770829.095920494
36,447703.853926964
37,403535.4102527621
38,309955.77020425984
39,791088.041427599
40,2245280.66143111
41,280030.67538153066
42,283515.2447630639
43,59728.26426068667
44,1215104.174969672
45,560860.0457330486
46,656310.4199420467
47,117400.10548847605
48,253106.8864331746
49,284652.5544264903
50,245771.58385943645
51,63671.7326984162
52,252421.14699257875
53,254464.7028034546
54,527828.1734037567
55,106242.53706783084
56,218013.3905965187
57,496422.49917442305
58,194324.13438434777
59,320858.7233988561
60,223750.3363383796
61,187824.6805327342
62,1209786.6157514588
63,124184.60372462522
64,209194.24839255336
65,509408.224676738
66,401479.51169302006
67,165958.4717179673
68,1116810.1063580676
69,152219.27765165386
70,137070.36763466086
71,136575.32091090066
72,364666.05027548946
73,136639.87334871647
74,329326.0829977208
75,141172.24851030693
76,238227.69912684226
77,146566.2110225528
78,215107.21329436812
79,267434.7367313986
80,164766.55918046838
81,168243.94078810565
82,49367.7743962044
83,199690.54398053553
84,393676.02301810554
85,239239.66013518034
86,312299.2030531959
87,294970.07292817306
88,168598.13107543776
89,27287.51288185557
90,106655.15998360961
91,181631.1047552132
92,758257.4658348517
93,346436.61950097006
94,147940.4147688187
95,118610.68253871091
96,520422.94015546876
97,280710.982992547
98,172433.877703843
99,272549.35232753423
100,244304.67091041734
101,118331.98501758602
102,260557.79994398897
103,189084.27859798772
104,171894.8777291982
105,138083.02257449582
106,131723.4656293574
107,304248.39861690614
108,421447.8744927713
109,620156.8964516582
110,185996.90816905675
111,172053.8804106802
112,93392.66633407313
113,183239.71837343747
114,231527.33069473668
115,88413.71480543354
116,144645.5311459815
117,69063.97914281275
118,93705.87392233462
119,140064.66425085155
120,168984.6587566858
121,133163.39683753607
122,233134.24382414395
123,65247.84248075506
124,737706.177885111
125,682462.3110289616
126,42462.82938654843
127,143283.5722410982
128,116237.57955781257
129,100701.82244533913
130,192579.23698485782
131,117674.47324593714
132,140836.08348994615
133,185458.77613748342
134,227901.36138064048
135,241417.30724851607
136,277766.1868336829
137,401562.27620404394
138,145047.24765220156
139,479968.5773828492
140,402631.9476097384
141,154000.2806043221
142,291274.52360598004
143,57229.859727174735
144,81282.64825855647
145,273383.8263115467
146,493159.8827027641
147,184863.0852636089
148,1007883.4828199173
149,475606.96081633074
150,127891.0061067977
151,88515.12593283757
152,69173.61337096326
153,295765.5511728251
154,854472.7770390991
155,93634538.20062271
156,392553.09266356396
157,230739.6776551897
158,157811.12762263924
159,181702.87841798592
160,188892.83084051177
161,263388.7971669833
162,179185.0255054707
163,234614.2771363877
164,236660.90970638738
165,308149.1434818963
166,155580.7476326541
167,714149.0595927496
168,243782.35918237962
169,643931.1881244872
170,59813.31917872278
171,148858.06631917576
172,83529.72377438586
173,209849.9732115243
174,135167.7597571694
175,73809.30383803153
176,139453.75553544972
177,358290.2654077495
178,148044.79817534937
179,254575.04223963968
180,248714.5354526497
181,240111.80408447754
182,230632.813932247
183,748210.0954865396
184,148564.1746103526
185,210955.86042774958
186,266197.24288082396
187,176424.27803442732
188,111292.6096216952
189,266175.2311738582
190,42513.32379985638
191,169936.2986969506
192,198423.5057583304
193,138556.2628326445
194,333966.7113778826
195,274175.01547120867
196,1200860.3689310376
197,99075.41576249799
198,72932.6235008098
199,759252.8241048428
200,1545070.1058394392
201,279648.91907930875
202,400349.4917436344
203,30032.530005976394
204,1131529.3522913966
205,461120.14259818825
206,660865.0137814244
207,424597.79845319956
208,482575.8402464144
209,641687.135476062
210,613245.3883510876
211,139573.0681556082
212,198168.014748074
213,112264.18183720786
214,241404.30266547052
215,225370.95792149234
216,317514.9079530135
217,214303.84892659454
218,140658.76825756318
219,247247.36640506017
220,161362.6458105846
221,139533.35304879502
222,152088.0490135076
223,171947.4653393678
224,270746.96749742114
225,188283.1331230185
226,383948.23832246364
227,109483.0452445298
228,230132.5900286272
