Serial Number,bonds_aaa
1,0
2,0
3,39.516
4,53.637
5,12.777
6,0
7,53.719
8,40.786
9,23.3
10,0
11,0
12,0
13,10.846
14,6.355
15,6.355
16,0
17,0
18,0
19,9.95
20,1.412
21,0
22,32.38
23,19.593
24,14.566
25,32.38
26,28.274
27,0
28,24.4
29,0
30,10
31,0
32,19.593
33,3.599
34,0
35,0
36,0
37,0
38,66.865
39,42.455
40,3.698
41,2.052
42,4.362
43,0
44,0
45,0
46,0
47,0.127
48,67.062
49,10.484
50,9.301
51,0
52,0
53,0
54,0
55,7.221
56,0
57,2.388
58,49.652
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,3.698
72,5.806
73,0.739
74,0
75,0
76,0
77,5.482
78,0
79,0
80,15.092
81,0
82,0
83,0
84,4.486
85,0
86,0
87,33.299
88,50.252
89,9.583
90,5.806
91,3.938
92,5.806
93,2.48
94,5.806
95,5.806
96,0
97,0
98,0
99,0
100,0
101,0
102,49.307
103,39.471
104,59.38
105,0
106,0
107,0
108,3.462
109,2.819
110,13.401
111,43.832
112,43.832
113,2.317
114,0
115,15.998
116,0
117,0
118,0
119,0
120,0
121,4.366
122,0
123,0
124,57.953
125,0.127
126,27.28
127,0
128,0
129,0
130,0
131,14.01
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,3.808
141,3.921
142,49.51
143,49.51
144,49.51
145,33.391
146,23.391
147,0
148,23.391
149,33.391
150,33.391
151,23.391
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,29.026
162,20.826
163,0
164,29.026
165,21.338
166,29.94
167,29.026
168,6.763
169,13.28
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,96.375
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,3.433
188,0
189,21.338
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,24.487
198,43.783
199,45.881
200,0
201,12.953
202,41.941
203,3.889
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,13.576
217,0
218,33.391
219,12.953
220,12.953
221,0
222,33.391
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
