Serial Number,bonds_aaa
1,1.619281491
2,-1.194165869
3,21.05306752
4,60.8843244
5,10.02986051
6,-0.131068024
7,55.79310565
8,14.82932013
9,21.17329783
10,-1.029302326
11,-1.029302326
12,-1.029302326
13,13.53852346
14,0.995821609
15,0.510588161
16,1.319416693
17,1.439451917
18,-0.985709139
19,6.173512364
20,8.548846095
21,2.3872974
22,24.94500566
23,22.42700976
24,14.88723354
25,27.68275649
26,22.62653289
27,2.453464443
28,22.42700976
29,-1.194165869
30,-1.770788016
31,-1.503447238
32,22.42700976
33,6.548246297
34,-0.470873154
35,-0.660761355
36,-0.660761355
37,1.818804622
38,1.619281491
39,68.79441823
40,38.59375983
41,11.49713866
42,11.67069067
43,12.82619602
44,0.107204504
45,-0.734995843
46,-0.691402656
47,-1.020613859
48,7.510198517
49,59.57117691
50,13.65557485
51,6.421072578
52,1.966796515
53,4.084011096
54,-1.020613859
55,0.304535044
56,6.403017928
57,-1.150572682
58,2.111921211
59,46.6317083
60,1.500682637
61,2.453464443
62,-1.419352963
63,0.346273065
64,0.19075228
65,2.542481918
66,0.403375704
67,-0.660761355
68,3.305959471
69,3.108329392
70,-1.029302326
71,1.966796515
72,11.49713866
73,5.177180196
74,0.440705661
75,1.066515414
76,3.254956227
77,-1.445726748
78,8.973171205
79,0.734157099
80,-1.465826971
81,23.23710135
82,-0.525328238
83,1.502302569
84,1.574067984
85,16.27494437
86,4.767450898
87,0.907709109
88,1.006263496
89,17.1499186
90,6.826699415
91,4.366321401
92,4.41637173
93,8.315913447
94,4.41637173
95,4.565844533
96,4.366321401
97,-1.260488087
98,-1.304081274
99,-1.304081274
100,-1.304081274
101,-0.734995843
102,-0.734995843
103,50.06621979
104,51.08400191
105,45.62114571
106,12.40844013
107,-0.734995843
108,10.67264605
109,11.03131685
110,11.12630997
111,14.84679688
112,38.05389279
113,38.05389279
114,12.9168536
115,-0.046890812
116,16.62661529
117,0.055755373
118,0.229307383
119,0.229307383
120,0.229307383
121,7.577425903
122,12.9168536
123,-0.046890812
124,-0.046890812
125,49.90973137
126,8.063987887
127,24.47186605
128,-0.046890812
129,-0.090484
130,-0.090484
131,5.630440933
132,13.23148416
133,-0.421813062
134,0.100173445
135,0.100173445
136,0.100173445
137,0.100173445
138,0.056580258
139,0.035403421
140,6.520512315
141,12.15172188
142,12.9168536
143,22.81254775
144,22.81254775
145,22.98609976
146,39.68422072
147,42.82770522
148,-0.508150925
149,42.62818209
150,41.21579861
151,42.54485598
152,42.62818209
153,-1.082123921
154,-2.150918757
155,-1.866691553
156,-1.082123921
157,-2.150918757
158,-2.150918757
159,-1.823098366
160,-0.968221112
161,17.08468498
162,24.32776318
163,24.32776318
164,17.08468498
165,24.47186605
166,26.92740866
167,24.47186605
168,24.32776318
169,7.346278558
170,5.726647764
171,-1.558650346
172,0.798471194
173,-1.701941589
174,-1.957193709
175,-1.228389338
176,-1.385098336
177,0.862735049
178,-2.000786897
179,71.09484021
180,-1.228389338
181,-1.913924081
182,-1.080291071
183,-1.701941589
184,-1.096981952
185,-1.053388765
186,-1.096981952
187,-1.096981952
188,12.9168536
189,1.63877181
190,26.92740866
191,1.768804125
192,2.491286351
193,-0.888776796
194,-0.888776796
195,1.768804125
196,-0.86266725
197,1.4192639
198,21.09770193
199,37.88034077
200,35.71231955
201,5.302522577
202,4.604594682
203,37.50105654
204,16.04860566
205,-0.523587726
206,-0.305425235
207,6.720035447
208,1.768804125
209,-1.367397761
210,2.000019881
211,-0.32278161
212,-0.610168161
213,-0.371956105
214,0.762701844
215,0.330727707
216,-0.267052621
217,2.625088744
218,-0.522304742
219,39.68422072
220,4.604594682
221,4.604594682
222,-1.419352963
223,41.21579861
224,0.470614746
225,-1.618991497
226,0.689183039
227,0.353013355
228,-1.3453581
229,-1.364809072
230,1.189402414
231,-0.193409487
232,-1.445439487
233,-1.618991497
234,0.690862134
235,8.063987887
236,77.30331299
237,-1.913924081
238,-0.348748038
239,75.94132539
240,76.89650767
241,0.390319516
242,-1.110333154
243,85.0216282
244,-1.066739967
245,-0.436091077
246,-1.066739967
247,8.465852813
248,-1.066739967
249,9.664913342
250,-1.110333154
251,8.465852813
252,-0.936781144
253,-1.253843081
254,-1.210249893
255,70.70119124
256,79.10330649
257,-0.384165679
258,76.89650767
259,69.06837929
260,-1.082123921
261,-1.212082744
262,17.65053245
263,-1.245800953
264,14.52993134
265,11.23915059
266,5.854456475
267,-0.207372581
268,6.721798307
269,19.45973956
270,6.691913025
271,6.691913025
272,4.314555522
273,3.961634708
274,23.47337444
275,5.394262735
276,23.85244268
277,23.85244268
278,23.85244268
279,23.85244268
280,5.394262735
281,2.283639313
282,-1.267933608
283,7.258104956
284,3.523210169
285,2.159193249
286,11.32389798
287,8.89912592
288,35.82925863
289,30.9044746
290,11.32389798
291,35.82925863
