Serial Number,bonds_aaa
1,0
2,0
3,81.48
4,77.9
5,28.6
6,0
7,46.37
8,21.86
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,32.99
20,0
21,0
22,49.97
23,49.97
24,32.99
25,49.97
26,49.97
27,0
28,49.97
29,0
30,0
31,0
32,49.97
33,12.16
34,0
35,0
36,0
37,0
38,51.84
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,61.47
49,0
50,32.99
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,48.7
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,-0.57
74,0
75,0
76,0
77,0
78,0
79,0
80,13.31
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,32.99
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,77.9
103,40.04
104,93.7
105,0
106,0
107,0
108,0
109,0
110,29.62
111,24.22
112,24.22
113,29.12
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,29.12
122,0
123,0
124,61.47
125,0
126,0.21
127,0
128,0
129,0
130,0
131,29.62
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,29.12
141,29.12
142,49.51
143,49.51
144,49.51
145,78.67
146,73.1
147,0
148,73.1
149,73.1
150,73.1
151,73.1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0.21
162,0.21
163,0
164,0.21
165,10.1
166,0.21
167,0.21
168,1.21
169,1.68
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,96.96
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,29.12
188,0
189,10.1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,24.22
199,24.22
200,0
201,0
202,24.22
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,3.88
217,0
218,78.67
219,0
220,0
221,0
222,73.1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,91.5
236,0
237,0
238,36.84
239,100
240,0
241,0
242,99.34
243,0
244,0
245,0
