serial number,credit_amount
1,2602.798210645793
2,2520.922850348437
3,2581.093515239858
4,2405.3528755196885
5,1546.5173942315237
6,3313.6310118717556
7,2152.3767145576107
8,1778.1438337290297
9,6544.280205013908
10,2277.9943567131313
11,3725.2770534606375
12,1680.801678437615
13,4163.365718326125
14,2416.320366792234
15,2515.655637152349
16,2533.63397052913
17,1164.212569453355
18,2775.3560657132807
19,8062.013126315601
20,1141.2897224622388
21,1300.275707136739
22,2727.0514083493886
23,2677.555679404364
24,1406.3786878956282
25,3926.3493838399836
26,2104.5901430307495
27,3276.131687080693
28,6049.241546063874
29,4641.5267007961875
30,6578.388916552755
31,4980.0465965358835
32,2044.5585259616735
33,5771.244242939335
34,2925.054756588266
35,2508.8022662202166
36,5053.399332577046
37,2073.668926387541
38,3029.2131457060864
39,3905.7716678578035
40,2279.3373156524685
41,3471.813559623227
42,3594.182262465494
43,1894.2096470249246
44,4370.256448498595
45,3159.517518328861
46,3576.3663239145926
47,2946.7453171363422
48,1258.4130979924141
49,1902.5049195732902
50,1741.0726661045337
51,1469.0750299903204
52,5644.830905655407
53,3546.793721093644
54,4115.774408437527
55,3794.233205143716
56,1806.103796329096
57,1735.0205291889463
58,4269.918401591024
59,2274.6031854495427
60,1651.245985841093
61,2317.5051262122643
62,4686.874812116435
63,3320.6993551001347
64,2006.288811311555
65,2101.349291551977
66,2697.928874963403
67,2904.9465490982066
68,3373.931590365563
69,3374.112789508878
70,2049.180394084196
71,3785.3193525742354
72,2503.5337510549853
73,2695.7738893793576
74,780.7470134240974
75,3292.1572672587845
76,1550.8708857491513
77,8362.198571431154
78,2062.8255168553083
79,4673.046165986543
80,2502.6406964068046
81,4295.396633313598
82,5254.0355500872165
83,2844.1742848493595
84,3754.7332520676296
85,3644.326518085933
86,853.5067745141838
87,5200.399952205218
88,4243.539653322603
89,4375.747246409138
90,5224.619564026577
91,5197.409101094525
92,2616.0495232038966
93,1639.1813744815393
94,4815.3942276370135
95,2739.8234099461
96,5176.244172488425
97,2128.858621668343
98,1580.1882089595774
99,3800.1708049682766
100,3613.045484884326
101,3924.7680357786
102,3484.0955915886243
103,4595.551316722928
104,1545.0781644787041
105,1739.075565839354
106,2528.282398999667
107,2232.245294482231
108,2185.9503567893503
109,2763.329776173405
110,2756.5388321466476
111,1590.8918861438242
112,3856.2787862593786
113,2969.635009378669
114,2985.6030004342497
115,2719.299707870373
116,6917.156745745235
117,2966.335730187228
118,4877.624053605225
119,2476.295505093952
120,3082.608800671937
121,2423.1373120864314
122,3932.478477238107
123,1880.5691475070912
124,4343.360836142463
125,5140.393174195843
126,5800.55018599501
127,2869.219676450971
128,5606.067262731442
129,2857.7413622612603
130,2847.767064791478
131,2405.6319807347977
132,3090.37194381155
133,1611.9183883750225
134,2684.4481859947855
135,2291.401120292766
136,3761.8168566923514
137,2182.3765914064616
138,2763.216272315514
139,3433.109618492917
140,6082.024824284289
141,4918.6766343990075
142,1300.8279565727798
143,4549.341506252167
144,2498.9920394244846
145,2847.8073993378066
146,4159.198953797649
147,3361.822613745597
148,6697.690174670548
149,2738.774584065585
150,2160.4020682811592
151,2892.0428252175398
152,5213.8933086970055
153,3904.3168636234795
154,3038.2323528073302
155,2377.1018453429574
156,2695.466946780838
157,1725.351698679845
158,1682.7068462532438
159,1906.517361146764
160,4045.8062636851987
161,1293.8584428248
162,3427.436500387514
163,3378.3010644449882
164,2575.1456288948666
165,2170.487339643265
166,2443.4524441628596
167,1594.8864217326927
168,3510.540525939005
169,1951.4281084377512
170,2999.900739073338
171,2410.074694375838
172,3134.432407831888
173,4836.628040694851
174,4325.3939142815025
175,2722.1028314998953
176,1654.2279410196322
177,2135.3605469002728
178,2931.3261783536004
179,1938.9051357390963
180,2381.141227892555
181,3661.700409794652
182,5188.503557843303
183,2825.993954907709
184,2388.34283177563
185,2415.081297340715
186,2661.4027155072013
187,5892.890072528491
188,1632.250990886581
189,6383.162158297196
190,1817.800444580628
191,3427.1235699570093
192,2780.4940507012475
193,1708.27431966598
194,3732.8263156159974
195,2802.1369425709267
196,2932.6185476423693
197,3619.4326480382683
198,2198.041839286395
199,4079.9240629503406
200,4646.39011225516
